"등록현황별(1)","등록현황별(2)",행정구역(구군)별(1),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","신장",달성군,456,450,446,420,384,345,331,296,278,244,230
"장애유형별","신장",군위군,57,,,,,,,,,,
"장애유형별","심장",중구,10,10,10,8,12,13,10,14,17,12,12
"장애유형별","심장",동구,31,33,34,34,31,32,29,29,27,34,31
"장애유형별","심장",서구,23,18,22,21,20,20,21,20,19,23,22
"장애유형별","심장",남구,14,17,17,18,16,17,18,17,19,21,25
"장애유형별","심장",북구,37,37,42,41,44,45,43,50,51,50,51
"장애유형별","심장",수성구,42,42,42,44,48,43,43,46,56,55,59
"장애유형별","심장",달서구,44,49,51,56,50,49,53,53,50,52,53
"장애유형별","심장",달성군,25,23,21,20,19,18,13,13,12,9,7
"장애유형별","심장",군위군,2,,,,,,,,,,
"장애유형별","호흡기",중구,8,10,10,12,12,12,9,11,12,12,14
"장애유형별","호흡기",동구,69,69,75,72,67,68,73,72,69,73,79
"장애유형별","호흡기",서구,31,33,26,26,28,33,34,43,41,43,43
"장애유형별","호흡기",남구,27,26,31,34,37,36,41,41,47,50,50
"장애유형별","호흡기",북구,55,65,63,66,65,66,69,59,59,66,69
"장애유형별","호흡기",수성구,65,70,71,75,84,90,86,83,89,88,101
"장애유형별","호흡기",달서구,81,90,92,97,90,96,100,95,100,104,108
"장애유형별","호흡기",달성군,39,44,45,38,38,41,38,33,32,30,30
"장애유형별","호흡기",군위군,3,,,,,,,,,,
"장애유형별","간",중구,19,19,18,19,17,15,16,12,12,10,7
"장애유형별","간",동구,109,109,108,104,94,97,91,78,65,59,58
"장애유형별","간",서구,54,52,52,48,45,48,40,37,25,23,27
"장애유형별","간",남구,42,44,40,35,34,31,32,28,31,26,26
"장애유형별","간",북구,135,133,129,126,120,111,103,99,83,65,66
"장애유형별","간",수성구,130,124,115,112,120,123,118,103,93,89,82
"장애유형별","간",달서구,184,179,177,174,165,155,150,131,128,114,104
"장애유형별","간",달성군,75,74,68,60,54,47,43,43,35,35,35
"장애유형별","간",군위군,9,,,,,,,,,,
"장애유형별","안면",중구,3,2,2,2,3,2,2,3,3,4,4
"장애유형별","안면",동구,19,17,18,18,19,19,16,15,15,18,19
"장애유형별","안면",서구,11,11,11,12,13,15,16,14,15,17,17
"장애유형별","안면",남구,8,6,7,7,7,8,11,9,10,11,10
"장애유형별","안면",북구,29,31,30,25,28,30,28,27,27,29,29
"장애유형별","안면",수성구,16,17,16,14,15,14,17,18,16,18,17
"장애유형별","안면",달서구,36,33,34,32,31,31,30,33,32,31,33
"장애유형별","안면",달성군,25,24,25,24,21,22,22,21,18,16,15
"장애유형별","안면",군위군,,,,,,,,,,,
"장애유형별","장루,요루",중구,24,19,18,18,21,22,22,20,19,20,23
"장애유형별","장루,요루",동구,98,93,92,92,98,95,96,91,86,88,91
"장애유형별","장루,요루",서구,64,59,62,59,63,67,59,57,62,61,64
"장애유형별","장루,요루",남구,51,52,54,56,61,72,69,71,67,66,54
"장애유형별","장루,요루",북구,101,101,101,101,101,95,95,98,95,99,102
"장애유형별","장루,요루",수성구,108,104,97,100,107,99,92,88,91,89,90
"장애유형별","장루,요루",달서구,148,148,134,135,132,134,134,126,120,119,117
"장애유형별","장루,요루",달성군,67,69,67,58,56,56,53,46,46,49,49
"장애유형별","장루,요루",군위군,22,,,,,,,,,,
"장애유형별","뇌전증",중구,5,4,5,6,5,7,7,8,6,9,7
"장애유형별","뇌전증",동구,52,54,52,49,47,46,38,40,37,39,40
"장애유형별","뇌전증",서구,41,43,45,41,46,39,36,37,42,45,46
"장애유형별","뇌전증",남구,24,25,25,23,22,21,24,29,27,23,24
"장애유형별","뇌전증",북구,49,49,51,55,52,45,41,35,32,34,38
"장애유형별","뇌전증",수성구,50,51,51,52,50,48,49,50,45,43,47
"장애유형별","뇌전증",달서구,81,77,83,86,92,90,86,79,72,76,74
"장애유형별","뇌전증",달성군,23,26,24,27,22,23,21,18,21,19,21
"장애유형별","뇌전증",군위군,2,,,,,,,,,,
