"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","지적장애",순창군,280,283,284,277,274,275,287,290,299,297
"장애유형별","지적장애",고창군,509,499,507,501,507,508,508,481,474,462
"장애유형별","지적장애",부안군,431,437,439,438,435,416,403,410,401,400
"장애유형별","자폐성",전주시,423,374,337,314,298,278,255,248,239,226
"장애유형별","자폐성",군산시,157,138,122,114,107,106,101,92,86,82
"장애유형별","자폐성",익산시,200,177,159,150,138,132,124,118,114,111
"장애유형별","자폐성",정읍시,45,39,35,31,28,26,22,21,20,20
"장애유형별","자폐성",남원시,45,40,39,36,27,27,23,22,20,19
"장애유형별","자폐성",김제시,38,37,33,26,25,27,23,21,21,19
"장애유형별","자폐성",완주군,54,41,34,33,27,28,27,28,22,20
"장애유형별","자폐성",진안군,16,14,11,13,14,14,12,11,7,6
"장애유형별","자폐성",무주군,13,12,12,12,10,10,9,10,11,9
"장애유형별","자폐성",장수군,4,4,4,4,4,4,6,4,4,4
"장애유형별","자폐성",임실군,12,10,10,7,6,6,5,4,4,4
"장애유형별","자폐성",순창군,12,13,11,11,9,9,8,7,8,6
"장애유형별","자폐성",고창군,20,14,14,16,12,10,8,9,8,8
"장애유형별","자폐성",부안군,21,20,20,18,16,15,14,12,9,8
"장애유형별","정신장애",전주시,1519,1512,1491,1487,1484,1482,1478,1450,1414,1408
"장애유형별","정신장애",군산시,569,576,580,585,577,571,563,551,544,553
"장애유형별","정신장애",익산시,865,876,885,870,870,877,865,858,851,817
"장애유형별","정신장애",정읍시,362,361,369,374,379,385,386,387,383,388
"장애유형별","정신장애",남원시,470,478,480,482,489,483,490,491,496,492
"장애유형별","정신장애",김제시,398,405,401,396,404,412,424,424,424,443
"장애유형별","정신장애",완주군,394,384,385,385,382,376,361,348,352,368
"장애유형별","정신장애",진안군,105,102,103,98,96,93,90,85,90,87
"장애유형별","정신장애",무주군,68,70,69,68,70,72,68,69,72,69
"장애유형별","정신장애",장수군,79,79,87,88,86,90,88,86,86,84
"장애유형별","정신장애",임실군,130,124,123,119,119,119,117,117,121,118
"장애유형별","정신장애",순창군,100,102,101,102,107,107,108,110,106,101
"장애유형별","정신장애",고창군,203,204,209,213,218,225,225,227,223,238
"장애유형별","정신장애",부안군,197,198,194,191,190,199,191,192,193,192
"장애유형별","신장장애",전주시,1175,1126,1098,1010,949,876,816,785,738,702
"장애유형별","신장장애",군산시,555,532,513,497,461,445,416,389,374,353
"장애유형별","신장장애",익산시,634,604,546,513,471,424,403,378,356,322
"장애유형별","신장장애",정읍시,232,215,209,188,182,177,165,158,153,141
"장애유형별","신장장애",남원시,171,155,170,167,164,154,151,146,138,130
"장애유형별","신장장애",김제시,197,190,167,159,151,144,140,128,127,111
"장애유형별","신장장애",완주군,174,167,153,149,151,134,127,110,103,92
"장애유형별","신장장애",진안군,54,47,43,44,42,38,38,37,30,26
"장애유형별","신장장애",무주군,45,47,45,45,45,39,37,35,32,31
"장애유형별","신장장애",장수군,44,44,37,28,28,23,27,30,28,28
"장애유형별","신장장애",임실군,64,60,54,43,40,35,28,29,23,19
"장애유형별","신장장애",순창군,54,57,57,51,49,53,46,44,36,35
"장애유형별","신장장애",고창군,118,119,111,109,105,102,103,95,87,79
"장애유형별","신장장애",부안군,128,125,116,98,96,89,71,70,64,66
