"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","청각장애",상주시,2817,2764,2619,2448,2143,1797,1536,1297,1256,1183
"장애유형","청각장애",문경시,1533,1502,1428,1393,1044,925,798,637,621,617
"장애유형","청각장애",경산시,3120,2970,2781,2557,2208,1806,1441,1272,1270,1278
"장애유형","청각장애",군위군,790,755,718,684,560,380,285,256,256,262
"장애유형","청각장애",의성군,1702,1657,1598,1523,1373,987,825,689,678,660
"장애유형","청각장애",청송군,761,763,753,734,531,392,341,303,314,308
"장애유형","청각장애",영양군,549,539,496,457,298,278,240,214,225,226
"장애유형","청각장애",영덕군,760,730,696,658,505,490,428,396,404,418
"장애유형","청각장애",청도군,1137,1105,1031,1012,907,654,476,432,446,433
"장애유형","청각장애",고령군,886,822,772,732,658,534,335,297,304,310
"장애유형","청각장애",성주군,1009,963,930,900,825,646,429,369,362,355
"장애유형","청각장애",칠곡군,1409,1344,1278,1246,1112,813,658,608,625,645
"장애유형","청각장애",예천군,1262,1224,1145,1071,889,765,648,550,544,529
"장애유형","청각장애",봉화군,744,705,667,513,469,438,398,363,367,375
"장애유형","청각장애",울진군,625,620,586,559,528,491,457,431,444,449
"장애유형","청각장애",울릉군,104,110,111,119,100,83,59,57,57,61
"장애유형","언어장애",포항시,238,224,215,207,206,195,198,207,203,201
"장애유형","언어장애",경주시,135,136,142,139,124,130,128,119,125,121
"장애유형","언어장애",김천시,77,75,68,65,63,63,62,56,57,58
"장애유형","언어장애",안동시,74,74,83,86,81,77,73,76,73,77
"장애유형","언어장애",구미시,188,169,174,155,139,123,113,114,109,104
"장애유형","언어장애",영주시,59,48,50,49,47,47,46,46,48,46
"장애유형","언어장애",영천시,44,46,49,51,49,44,44,47,48,43
"장애유형","언어장애",상주시,47,48,45,50,49,50,53,52,51,51
"장애유형","언어장애",문경시,26,25,25,22,21,25,22,24,24,31
"장애유형","언어장애",경산시,157,160,146,138,130,124,118,120,120,128
