"장애인등록현황별(1)","장애인등록현황별(2)",시군별(1),시군별(2),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","시각장애",남부,수원시,4499,4514,4482,4463,4442,4397,4404,4401,4381,4348,4293
"장애유형","시각장애",남부,성남시,3446,3507,3553,3588,3633,3670,3658,3683,3723,3785,3789
"장애유형","시각장애",남부,안양시,2031,2051,2044,2103,2133,2154,2118,2127,2130,2128,2177
"장애유형","시각장애",남부,부천시,3513,3566,3628,3647,3642,3638,3636,3614,3538,3548,3577
"장애유형","시각장애",남부,광명시,1170,1222,1234,1257,1356,1373,1384,1375,1368,1416,1437
"장애유형","시각장애",남부,평택시,2337,2314,2287,2249,2227,2202,2171,2140,2128,2113,2117
"장애유형","시각장애",남부,안산시,2827,2875,2887,2897,2868,2897,2904,2937,2973,3009,3032
"장애유형","시각장애",남부,과천시,215,210,209,190,170,180,177,208,220,226,226
"장애유형","시각장애",남부,오산시,836,854,868,849,856,817,793,768,756,744,728
"장애유형","시각장애",남부,시흥시,1940,1920,1880,1817,1739,1628,1572,1519,1504,1509,1514
"장애유형","시각장애",남부,군포시,1114,1108,1100,1102,1095,1083,1101,1102,1134,1142,1120
"장애유형","시각장애",남부,의왕시,581,587,606,595,608,591,587,570,567,572,573
"장애유형","시각장애",남부,하남시,1103,1120,1123,1039,988,956,891,841,719,661,644
"장애유형","시각장애",남부,용인시,3443,3474,3428,3450,3415,3345,3181,3146,3056,3043,3039
"장애유형","시각장애",남부,이천시,954,977,986,962,952,921,923,925,911,930,904
"장애유형","시각장애",남부,안성시,1022,1047,1041,1040,1043,1027,1016,1028,1017,1024,1000
"장애유형","시각장애",남부,김포시,1814,1842,1822,1769,1667,1641,1516,1451,1422,1372,1301
"장애유형","시각장애",남부,화성시,2847,2818,2770,2717,2625,2487,2319,2232,2104,1963,1949
"장애유형","시각장애",남부,광주시,1640,1625,1609,1590,1551,1531,1493,1446,1372,1320,1321
"장애유형","시각장애",남부,여주시,741,753,744,751,754,760,778,754,763,774,766
"장애유형","시각장애",남부,양평군,721,708,702,700,682,698,708,686,688,676,660
"장애유형","시각장애",북부,의정부시,2221,2239,2203,2200,2156,2145,2068,2058,2025,1951,1900
"장애유형","시각장애",북부,동두천시,559,569,567,560,539,528,536,538,545,523,521
"장애유형","시각장애",북부,고양시,4050,4172,4144,4145,4112,3974,3909,3860,3849,3749,3714
"장애유형","시각장애",북부,구리시,793,808,806,814,819,840,808,823,776,774,788
"장애유형","시각장애",북부,남양주시,3177,3182,3151,3085,3029,2945,2911,2855,2853,2738,2672
"장애유형","시각장애",북부,파주시,2084,2082,2032,1935,1939,1894,1830,1780,1741,1757,1723
"장애유형","시각장애",북부,양주시,1237,1152,1129,1104,1098,1077,1058,1010,991,973,982
"장애유형","시각장애",북부,포천시,893,915,912,894,882,889,894,896,905,907,896
"장애유형","시각장애",북부,연천군,316,308,314,298,294,286,278,286,295,300,304
