"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","언어",의령군,17,18,17,16,401,17,15,18,20,16,15,17
"장애유형별","언어",함안군,31,33,40,38,34,36,37,39,32,31,35,37
"장애유형별","언어",창녕군,45,45,45,44,45,47,46,46,40,42,42,39
"장애유형별","언어",고성군,18,21,22,19,22,20,22,25,24,27,28,32
"장애유형별","언어",남해군,34,32,35,32,34,36,35,34,36,36,34,32
"장애유형별","언어",하동군,23,20,22,21,17,17,26,34,37,41,41,46
"장애유형별","언어",산청군,32,30,32,34,36,37,37,37,35,37,36,40
"장애유형별","언어",함양군,27,27,27,33,34,35,35,36,35,34,34,35
"장애유형별","언어",거창군,25,25,29,29,28,29,27,30,34,33,35,39
"장애유형별","언어",합천군,34,34,31,33,31,34,33,39,38,35,35,33
"장애유형별","지적",창원시,4011,3945,3872,3755,5025,3549,3410,3306,3203,3115,3044,2946
"장애유형별","지적",진주시,1721,1694,1674,1637,1712,1585,1575,1540,1505,1465,1404,1362
"장애유형별","지적",통영시,652,653,648,654,691,620,616,589,564,554,534,525
"장애유형별","지적",사천시,782,774,763,765,627,721,709,696,672,650,633,624
"장애유형별","지적",김해시,2310,2242,2194,2135,2386,2020,1904,1835,1767,1715,1655,1586
"장애유형별","지적",밀양시,771,747,758,735,794,729,727,712,684,670,641,623
"장애유형별","지적",거제시,1193,1176,1147,1126,918,1038,1006,975,963,933,919,904
"장애유형별","지적",양산시,1614,1551,1508,1434,1790,1341,1280,1205,1124,1060,988,957
"장애유형별","지적",의령군,354,368,368,367,371,378,382,376,382,380,378,367
"장애유형별","지적",함안군,392,392,396,403,472,390,391,379,376,374,367,359
"장애유형별","지적",창녕군,481,477,471,471,495,462,453,439,415,400,404,388
"장애유형별","지적",고성군,381,383,398,410,359,429,427,413,403,397,395,391
"장애유형별","지적",남해군,363,359,366,368,378,363,367,371,366,360,355,355
"장애유형별","지적",하동군,379,384,387,387,330,391,387,397,399,395,394,386
"장애유형별","지적",산청군,331,320,326,329,322,316,316,309,311,306,300,289
"장애유형별","지적",함양군,303,299,295,288,250,287,286,282,272,271,273,262
